timestamp,latitude,longitude,altitude,mean_snr,sat_count,mean_elevation,roll,pitch,yaw,is_inclined
1724833827,18.5633083333,73.833195,527.3,20.934831460674157,89,31.730337078651687,0.0,-83.0,175.0,0
1724833826,18.563305,73.8332,511.1,,0,,,,,0
1724833828,18.5633069,73.833198,526.3,,0,,0.0,-83.0,176.0,0
1724833829,18.5633025,73.8331969,526.8,20.89887640449438,89,31.730337078651687,-3.0,-83.0,172.0,0
1724833830,18.5633425,73.8331151,607.3,21.26888888888889,90,31.544444444444444,-3.0,-83.0,172.0,0
1724833831,18.5633656,73.8330701,639.6,20.979775280898878,89,31.730337078651687,-3.0,-83.0,172.0,0
1724833832,18.5633634,73.833064,644.4,21.015555555555558,90,32.144444444444446,-7.0,-82.0,167.0,0
1724833833,18.5633516667,73.833065,644.4,21.013186813186813,91,31.923076923076923,-7.0,-82.0,168.0,0
1724833834,18.5633608,73.8330676,634.6999999999999,21.18241758241758,91,31.923076923076923,-8.0,-81.0,166.0,0
1724833835,18.5633517,73.8330697,637.8,21.672527472527474,91,31.604395604395606,-4.0,-82.0,171.0,0
1724833836,18.5633391,73.8330698,642.8,21.604347826086954,92,31.130434782608695,-7.0,-82.0,168.0,0
1724833837,18.5633372,73.8330699,642.8,21.58695652173913,92,31.130434782608695,-4.0,-81.0,170.0,0
1724833838,18.5633255,73.8330938,638.1999999999999,21.922826086956523,92,31.130434782608695,-5.0,-82.0,170.0,0
1724833839,18.563276,73.8332029,615.3,22.03978494623656,93,31.376344086021504,-7.0,-82.0,167.0,0
1724833840,18.5632472,73.8332566,611.1,22.421505376344083,93,31.376344086021504,-6.0,-81.0,169.0,0
1724833841,18.5632341,73.8332846,607.6,22.182795698924732,93,31.376344086021504,-9.0,-80.0,167.0,0
1724833842,18.563232,73.8332891,607.6,22.61720430107527,93,31.376344086021504,-9.0,-81.0,167.0,0
1724833843,18.5632205,73.8333041,605.1999999999999,22.413978494623656,93,31.376344086021504,-9.0,-83.0,168.0,0
1724833844,18.5632131,73.8333134,604.9,22.34193548387097,93,31.182795698924732,-7.0,-82.0,168.0,0
1724833845,18.5632091,73.8333204,603.6999999999999,22.947311827956987,93,31.182795698924732,-7.0,-82.0,168.0,0
1724833846,18.5632071,73.8333258,602.1999999999999,22.982795698924733,93,31.06451612903226,-9.0,-82.0,166.0,0
1724833847,18.5632039,73.8333294,601.0,23.179569892473115,93,31.06451612903226,-2.0,-80.0,174.0,0
1724833848,18.5632021,73.8333314,600.1,23.320430107526885,93,31.06451612903226,-10.0,-82.0,166.0,0
1724833849,18.5632004,73.8333331,598.8,23.788172043010753,93,31.06451612903226,-9.0,-82.0,167.0,0
1724833850,18.5632029,73.8333333,596.5,23.548387096774192,93,31.06451612903226,-8.0,-81.0,168.0,0
1724833851,18.563202,73.8333334,595.5,23.7,95,31.147368421052633,-10.0,-83.0,165.0,0
1724833852,18.5632017,73.8333334,594.0,23.616842105263157,95,31.147368421052633,-10.0,-82.0,165.0,0
1724833853,18.5632018,73.8333319,592.9,23.504166666666666,96,30.979166666666668,-10.0,-82.0,165.0,0
